"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","trial_in_block","placements","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","2246","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2298","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","3116","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","","",""
"emotion-grid","3","null","14696","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","demo","practice","null","0","0","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""rice.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""pizza.jpg"",""final_img_pos"":""(736, 520)"",""posX"":736,""posY"":520,""grid_col"":7,""grid_row"":5,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ice_cream.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""chocolate.jpg"",""final_img_pos"":""(424, 520)"",""posX"":424,""posY"":520,""grid_col"":4,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ham.jpg"",""final_img_pos"":""(528, 104)"",""posX"":528,""posY"":104,""grid_col"":5,""grid_row"":1,""introduction_order"":5},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""hamburger.jpg"",""final_img_pos"":""(424, 208)"",""posX"":424,""posY"":208,""grid_col"":4,""grid_row"":2,""introduction_order"":6},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""cotton_candy.jpg"",""final_img_pos"":""(632, 208)"",""posX"":632,""posY"":208,""grid_col"":6,""grid_row"":2,""introduction_order"":7},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""french_fries.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":8},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""pasta.jpg"",""final_img_pos"":""(632, 416)"",""posX"":632,""posY"":416,""grid_col"":6,""grid_row"":4,""introduction_order"":9},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""muffin.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":10},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""bacon.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":11},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""salad.jpg"",""final_img_pos"":""(112, 416)"",""posX"":112,""posY"":416,""grid_col"":1,""grid_row"":4,""introduction_order"":12}]","[{""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":7,""grid_row"":3,""posX"":736,""posY"":312,""timestamp"":5085.299999952316},{""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":7,""grid_row"":5,""posX"":736,""posY"":520,""timestamp"":6281.099999904633},{""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":3,""posX"":320,""posY"":312,""timestamp"":7630.899999856949},{""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":4,""grid_row"":5,""posX"":424,""posY"":520,""timestamp"":8622.399999856949},{""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":5,""grid_row"":1,""posX"":528,""posY"":104,""timestamp"":9445.799999952316},{""image_name"":""hamburger.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":4,""grid_row"":2,""posX"":424,""posY"":208,""timestamp"":10055.5},{""image_name"":""cotton_candy.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":6,""grid_row"":2,""posX"":632,""posY"":208,""timestamp"":10630.799999952316},{""image_name"":""french_fries.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":7,""grid_row"":2,""posX"":736,""posY"":208,""timestamp"":11188.299999952316},{""image_name"":""pasta.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":6,""grid_row"":4,""posX"":632,""posY"":416,""timestamp"":11821.799999952316},{""image_name"":""muffin.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":6,""grid_row"":5,""posX"":632,""posY"":520,""timestamp"":12418.700000047684},{""image_name"":""bacon.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":13035.5},{""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":1,""grid_row"":4,""posX"":112,""posY"":416,""timestamp"":13697.399999856949}]","","",""
"html-button-response","4","2.1.0","15206","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","","",""
"html-button-response","5","2.1.0","15823","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","615","
      <div style=""font-size:24px; padding:20px;"">
        Block 1 of 2
      </div>
    ","0"
"emotion-grid","6","null","24235","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","demo","main","1","1","1","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""clock_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""envelope_1.jpg"",""final_img_pos"":""(528, 208)"",""posX"":528,""posY"":208,""grid_col"":5,""grid_row"":2,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""fireworks_1.jpg"",""final_img_pos"":""(528, 416)"",""posX"":528,""posY"":416,""grid_col"":5,""grid_row"":4,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""flag_1.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""ladder_1.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""mirror_1.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""snowman_1.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""tent_1.jpg"",""final_img_pos"":""(320, 416)"",""posX"":320,""posY"":416,""grid_col"":3,""grid_row"":4,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""window_1.jpg"",""final_img_pos"":""(216, 208)"",""posX"":216,""posY"":208,""grid_col"":2,""grid_row"":2,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""balloon_1.jpg"",""final_img_pos"":""(216, 520)"",""posX"":216,""posY"":520,""grid_col"":2,""grid_row"":5,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""camera_1.jpg"",""final_img_pos"":""(320, 208)"",""posX"":320,""posY"":208,""grid_col"":3,""grid_row"":2,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""candle_1.jpg"",""final_img_pos"":""(632, 104)"",""posX"":632,""posY"":104,""grid_col"":6,""grid_row"":1,""introduction_order"":12}]","[{""image_name"":""clock_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":3,""posX"":736,""posY"":312,""timestamp"":16668.5},{""image_name"":""envelope_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":2,""posX"":528,""posY"":208,""timestamp"":17202.299999952316},{""image_name"":""fireworks_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":4,""posX"":528,""posY"":416,""timestamp"":17735.200000047684},{""image_name"":""flag_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":5,""posX"":632,""posY"":520,""timestamp"":18272.599999904633},{""image_name"":""ladder_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":18847.700000047684},{""image_name"":""mirror_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":2,""posX"":736,""posY"":208,""timestamp"":19468.700000047684},{""image_name"":""snowman_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":20068.39999985695},{""image_name"":""tent_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":4,""posX"":320,""posY"":416,""timestamp"":20696.5},{""image_name"":""window_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":2,""posX"":216,""posY"":208,""timestamp"":21410.299999952316},{""image_name"":""balloon_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":5,""posX"":216,""posY"":520,""timestamp"":22097.39999985695},{""image_name"":""camera_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":2,""posX"":320,""posY"":208,""timestamp"":22751.700000047684},{""image_name"":""candle_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":1,""posX"":632,""posY"":104,""timestamp"":23434.39999985695}]","","",""
"html-button-response","7","2.1.0","26547","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","2311","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"emotion-grid","8","null","34231","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","demo","main","1","2","2","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""peacock_2.jpg"",""final_img_pos"":""(632, 208)"",""posX"":632,""posY"":208,""grid_col"":6,""grid_row"":2,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""dolphin_2.jpg"",""final_img_pos"":""(424, 416)"",""posX"":424,""posY"":416,""grid_col"":4,""grid_row"":4,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""pigeon_2.jpg"",""final_img_pos"":""(632, 416)"",""posX"":632,""posY"":416,""grid_col"":6,""grid_row"":4,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fox_2.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""lion_2.jpg"",""final_img_pos"":""(840, 312)"",""posX"":840,""posY"":312,""grid_col"":8,""grid_row"":3,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""sheep_2.jpg"",""final_img_pos"":""(424, 208)"",""posX"":424,""posY"":208,""grid_col"":4,""grid_row"":2,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""horse_2.jpg"",""final_img_pos"":""(216, 312)"",""posX"":216,""posY"":312,""grid_col"":2,""grid_row"":3,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fish_2.jpg"",""final_img_pos"":""(424, 624)"",""posX"":424,""posY"":624,""grid_col"":4,""grid_row"":6,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""squirrel_2.jpg"",""final_img_pos"":""(216, 416)"",""posX"":216,""posY"":416,""grid_col"":2,""grid_row"":4,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""butterfly_2.jpg"",""final_img_pos"":""(320, 416)"",""posX"":320,""posY"":416,""grid_col"":3,""grid_row"":4,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""ladybug_2.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""wolf_2.jpg"",""final_img_pos"":""(528, 312)"",""posX"":528,""posY"":312,""grid_col"":5,""grid_row"":3,""introduction_order"":12}]","[{""image_name"":""peacock_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":2,""posX"":632,""posY"":208,""timestamp"":27323},{""image_name"":""dolphin_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":4,""posX"":424,""posY"":416,""timestamp"":27842.599999904633},{""image_name"":""pigeon_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":4,""posX"":632,""posY"":416,""timestamp"":28313.299999952316},{""image_name"":""fox_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":28835.200000047684},{""image_name"":""lion_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":3,""posX"":840,""posY"":312,""timestamp"":29394.700000047684},{""image_name"":""sheep_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":2,""posX"":424,""posY"":208,""timestamp"":29960.099999904633},{""image_name"":""horse_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":3,""posX"":216,""posY"":312,""timestamp"":30535.700000047684},{""image_name"":""fish_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":6,""posX"":424,""posY"":624,""timestamp"":31181.099999904633},{""image_name"":""squirrel_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":4,""posX"":216,""posY"":416,""timestamp"":31773.299999952316},{""image_name"":""butterfly_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":4,""posX"":320,""posY"":416,""timestamp"":32356.89999985695},{""image_name"":""ladybug_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":3,""posX"":320,""posY"":312,""timestamp"":32968.200000047684},{""image_name"":""wolf_2.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":3,""posX"":528,""posY"":312,""timestamp"":33542.09999990463}]","","",""
"html-button-response","9","2.1.0","35259","artifacts,animals,plants","{""artifacts"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0}}","1","","","","","","","","","","","","","1026","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
